名称,行政区域,地址,联系方式,,
CLUBVIVE,越秀区应元路78-80号,83547453,,
ClubDeluxe国会,越秀区林和中路150-152号天誉花园1期,38841628,,
426东京CLUB,越秀区长堤大马路324号,81323067,,
426潮KTV(长堤店),越秀区长堤大马路322-324号,81324030,,
朝哥KTV,"越秀区环市东路488号2,3楼,13631303447",,,,
星光大道量贩式KTV,增城区增城市久裕大道,82677772,,
温之莎KTV,增城区增城市新塘镇广深大道中139号,82607788,,
温莎KTV,增城区增城市新塘镇广深大道中139号,82607788,,
天鹏酒店,增城区增城市新塘镇广深公路太平洋工业区,82705888,
盛世歌城娱乐城,增城区增城市新塘镇东坑三横路汇创大厦四幢3-4楼,82707222,,
迷迪会,增城区增城市新塘镇荔新十三路98号,32913300,,
魅力派对量贩式KTV,增城区新塘港口大道323号,26233688,,
经典酒店澳特泰会,增城区增城市新塘镇广深大道西298号经典酒店内,13710991991,,
锦上添花,增城区百花路广悦轩泊爵对面,82612888,,
金唛量贩式KTV,增城区新塘镇群贤路220号3楼,82688881,,
佳豪KTV,增城区增城市新塘镇港口北路,32913338,,
加洲红卡拉OK歌舞厅,增城区增城市新塘镇港口大道321号顶好大厦首楼,82709888,,
红白蓝酒吧,增城区增城市新塘镇元头东街1号,13794404645,,
豪情俱乐部,增城区增城市荔城街夏街大道21号,82727822,,
国贸会金乐坊俱乐部,增城区增城市新塘镇东坑三横中路1号汇创国贸大厦C座,82670188,,
歌声嘹亮,增城区增城市新塘镇荔新公路1号,82899555,,
高山会所,增城区白水寨风景区内金叶子度假酒店,82829999,
大富豪夜总会,增城区增城市增城大道8号3楼,82619888,,
畅想国度(新塘店),增城区增城市新塘镇解放北路172号摩丽多城4楼,82450009,,
宝乐迪量贩式KTV,增城区增城市荔城街,26232228,,
宝乐迪量贩式KTV,增城区荔城街迎祥西路1号,26232228,,
百威夜酒吧,增城区增城市群星北路,82780698,,
芭菲KTV,增城区新塘群贤路158号,82773088,,
Q-BOX量贩式KTV,增城区增城市港口大道北88号,82688868,,
K-PartyKTV,增城区增城市荔城街光明西路1号富盈酒店3-4楼,82734848,,
KingPARTY量贩式KTV,增城区增城市荔城街府佑路98号东汇城步行街3楼,82634848,,
Baby-k量贩式KTV,增城区增城市夏街大道114号,82657778,,
Babyk,增城区夏街大道,82657778,,
钱柜KTV(区庄店),越秀区先烈中路80号汇华商贸大厦1楼,37619333,
想唱就唱练歌房,,,,,
库汉江,,,,,
广州马会酒店俱乐部,,,,,
福都KTV,,,,,
CD女皇,,,,,
